Isolate,Species,Concentration,Rep,Trial,Oomicides,mean_colony_diam,relative_growth,percent_relative_growth
GI-331-E-1,S. parasitica,0,3,3,Mefenoxam,23.0,0.98,97.87
GI-331-E-1,S. parasitica,5,1,1,Mefenoxam,20.5,0.85,84.83
GI-331-E-1,S. parasitica,5,1,2,Mefenoxam,20.5,0.78,77.85
GI-331-E-1,S. parasitica,5,1,3,Mefenoxam,18.0,0.77,76.60
GI-331-E-1,S. parasitica,5,2,1,Mefenoxam,19.0,0.79,78.62
GI-331-E-1,S. parasitica,5,2,2,Mefenoxam,18.5,0.70,70.25
GI-331-E-1,S. parasitica,5,2,3,Mefenoxam,17.0,0.72,72.34
GI-331-E-1,S. parasitica,5,3,1,Mefenoxam,22.0,0.91,91.03
GI-331-E-1,S. parasitica,5,3,2,Mefenoxam,22.0,0.84,83.54
GI-331-E-1,S. parasitica,5,3,3,Mefenoxam,18.0,0.77,76.60
GI-331-E-1,S. parasitica,100,1,1,Mefenoxam,20.5,0.85,84.83
GI-331-E-1,S. parasitica,100,1,2,Mefenoxam,19.0,0.72,72.15
GI-331-E-1,S. parasitica,100,1,3,Mefenoxam,15.5,0.66,65.96
GI-331-E-1,S. parasitica,100,2,1,Mefenoxam,22.0,0.91,91.03
GI-331-E-1,S. parasitica,100,2,2,Mefenoxam,20.0,0.76,75.95
GI-331-E-1,S. parasitica,100,2,3,Mefenoxam,15.5,0.66,65.96
GI-331-E-1,S. parasitica,100,3,1,Mefenoxam,14.0,0.58,57.93
GI-331-E-1,S. parasitica,100,3,2,Mefenoxam,18.0,0.68,68.35
GI-331-E-1,S. parasitica,100,3,3,Mefenoxam,12.5,0.53,53.19
KSSO5-45,Py. ult. var. ult.,0,1,1,Mefenoxam,36.5,1.02,102.34
KSSO5-45,Py. ult. var. ult.,0,1,2,Mefenoxam,40.0,1.02,101.69
KSSO5-45,Py. ult. var. ult.,0,1,3,Mefenoxam,36.0,1.01,101.41
KSSO5-45,Py. ult. var. ult.,0,2,1,Mefenoxam,35.5,1.00,99.53
KSSO5-45,Py. ult. var. ult.,0,2,2,Mefenoxam,40.0,1.02,101.69
KSSO5-45,Py. ult. var. ult.,0,2,3,Mefenoxam,33.5,0.94,94.37
KSSO5-45,Py. ult. var. ult.,0,3,1,Mefenoxam,35.0,0.98,98.13
KSSO5-45,Py. ult. var. ult.,0,3,2,Mefenoxam,38.0,0.97,96.61
KSSO5-45,Py. ult. var. ult.,0,3,3,Mefenoxam,37.0,1.04,104.23
KSSO5-45,Py. ult. var. ult.,5,1,1,Mefenoxam,4.0,0.11,11.21
KSSO5-45,Py. ult. var. ult.,5,1,2,Mefenoxam,3.0,0.08,7.63
KSSO5-45,Py. ult. var. ult.,5,1,3,Mefenoxam,3.5,0.10,9.86
KSSO5-45,Py. ult. var. ult.,5,2,1,Mefenoxam,3.5,0.10,9.81
KSSO5-45,Py. ult. var. ult.,5,2,2,Mefenoxam,4.0,0.10,10.17
KSSO5-45,Py. ult. var. ult.,5,2,3,Mefenoxam,3.0,0.08,8.45
KSSO5-45,Py. ult. var. ult.,5,3,1,Mefenoxam,2.5,0.07,7.01
KSSO5-45,Py. ult. var. ult.,5,3,2,Mefenoxam,3.5,0.09,8.90
KSSO5-45,Py. ult. var. ult.,5,3,3,Mefenoxam,3.0,0.08,8.45
KSSO5-45,Py. ult. var. ult.,100,1,1,Mefenoxam,0.0,0.00,0.00
KSSO5-45,Py. ult. var. ult.,100,1,2,Mefenoxam,4.0,0.10,10.17
KSSO5-45,Py. ult. var. ult.,100,1,3,Mefenoxam,2.5,0.07,7.04
KSSO5-45,Py. ult. var. ult.,100,2,1,Mefenoxam,3.5,0.10,9.81
KSSO5-45,Py. ult. var. ult.,100,2,2,Mefenoxam,4.0,0.10,10.17
KSSO5-45,Py. ult. var. ult.,100,2,3,Mefenoxam,0.0,0.00,0.00
KSSO5-45,Py. ult. var. ult.,100,3,1,Mefenoxam,0.0,0.00,0.00
KSSO5-45,Py. ult. var. ult.,100,3,2,Mefenoxam,9.5,0.24,24.15
KSSO5-45,Py. ult. var. ult.,100,3,3,Mefenoxam,6.5,0.18,18.31
